,Player,CapHit
2,Jonathan Toews, 10500000
3,Patrick Kane, 10500000
4,Anze Kopitar, 10000000
5,Alexander Ovechkin, 9538462
6,Evgeni Malkin, 9500000
7,Jamie Benn, 9500000
8,P.K. Subban, 9000000
9,Sidney Crosby, 8700000
10,Corey Perry, 8625000
11,Leon Draisaitl, 8500000
12,Henrik Lundqvist, 8500000
13,Steven Stamkos, 8500000
14,Claude Giroux, 8275000
15,Ryan Getzlaf, 8250000
16,Jakub Voracek, 8250000
17,Joe Thornton, 8000000
18,Ryan Johansen, 8000000
19,Phil Kessel, 8000000
20,Brent Burns, 8000000
21,Victor Hedman, 7875000
22,Shea Weber, 7857143
23,Rick Nash, 7800000
24,Evgeny Kuznetsov, 7800000
25,Dustin Byfuglien, 7600000
26,Ryan Suter, 7538462
27,Zach Parise, 7538462
28,Aaron Ekblad, 7500000
29,Jason Spezza, 7500000
30,Vladimir Tarasenko, 7500000
31,Ryan O'Reilly, 7500000
32,Sergei Bobrovsky, 7425000
33,David Krejci, 7250000
34,Kristopher Letang, 7250000
35,Bobby Ryan, 7250000
36,Drew Doughty, 7000000
37,Paul Stastny, 7000000
38,Tuukka Rask, 7000000
39,Daniel Sedin, 7000000
40,Henrik Sedin, 7000000
41,Pekka Rinne, 7000000
42,Dion Phaneuf, 7000000
43,Patrice Bergeron, 6875000
44,Ryan Kesler, 6875000
45,Brent Seabrook, 6875000
46,Johnny Gaudreau, 6750000
47,Mikko Koivu, 6750000
48,Mark Giordano, 6750000
49,Nicklas Backstrom, 6700000
50,David Pastrnak, 6666666
51,Kevin Shattenkirk, 6650000
52,Alex Pietrangelo, 6500000
53,Carey Price, 6500000
54,Erik Karlsson, 6500000
55,Derek Stepan, 6500000
56,Sean Monahan, 6375000
57,Keith Yandle, 6350000
58,Nathan MacKinnon, 6300000
59,Patrick Marleau, 6250000
60,Alexander Radulov, 6250000
61,Brad Marchand, 6125000
62,Mark Scheifele, 6125000
63,Braden Holtby, 6100000
64,Henrik Zetterberg, 6083333
65,Johnny Boychuk, 6000000
