,Player,CapHit
2,Jonathan Toews, 10500000
3,Patrick Kane, 10500000
4,Anze Kopitar, 10000000
5,Alexander Ovechkin, 9538462
6,Evgeni Malkin, 9500000
7,P.K. Subban, 9000000
8,Sidney Crosby, 8700000
9,Corey Perry, 8625000
10,Henrik Lundqvist, 8500000
11,Steven Stamkos, 8500000
12,Claude Giroux, 8275000
13,Ryan Getzlaf, 8250000
14,Jakub Voracek, 8250000
15,Phil Kessel, 8000000
16,Shea Weber, 7857143
17,Rick Nash, 7800000
18,Dustin Byfuglien, 7600000
19,Ryan Suter, 7538462
20,Zach Parise, 7538462
21,Vladimir Tarasenko, 7500000
22,Jason Spezza, 7500000
23,Pavel Datsyuk, 7500000
24,Ryan O'Reilly, 7500000
25,Sergei Bobrovsky, 7425000
26,David Krejci, 7250000
27,Kristopher Letang, 7250000
28,Bobby Ryan, 7250000
29,Tuukka Rask, 7000000
30,Drew Doughty, 7000000
31,Daniel Sedin, 7000000
32,Henrik Sedin, 7000000
33,Paul Stastny, 7000000
34,Pekka Rinne, 7000000
35,Dion Phaneuf, 7000000
36,Zdeno Chara, 6916667
37,Patrice Bergeron, 6875000
38,Ryan Kesler, 6875000
39,Brent Seabrook, 6875000
40,Joe Thornton, 6750000
41,Mikko Koivu, 6750000
42,Mark Giordano, 6750000
43,Johnny Gaudreau, 6750000
44,Nicklas Backstrom, 6700000
45,Patrick Marleau, 6666667
46,Alex Pietrangelo, 6500000
47,Carey Price, 6500000
48,Erik Karlsson, 6500000
49,Derek Stepan, 6500000
50,Sean Monahan, 6375000
51,Keith Yandle, 6350000
52,Nathan MacKinnon, 6300000
53,Mark Scheifele, 6125000
54,Braden Holtby, 6100000
55,Henrik Zetterberg, 6083333
56,Johnny Boychuk, 6000000
57,Tomas Plekanec, 6000000
58,Cory Schneider, 6000000
59,David Backes, 6000000
60,Erik Johnson, 6000000
61,Filip Forsberg, 6000000
62,Joe Pavelski, 6000000
63,Jordan Eberle, 6000000
64,Jordan Staal, 6000000
65,Kyle Okposo, 6000000
66,Logan Couture, 6000000
